[10:45:29] [main/INFO] (FabricLoader) Loading for game Minecraft 1.17
[10:45:29] [main/DEBUG] (FabricLoader) Requesting deobfuscation of minecraft-1.17-project-@-mapped-net.fabricmc.yarn-1.17+build.11-v2.jar
[10:45:29] [main/DEBUG] (FabricLoader) [Knot] Proposed file:/C:/Users/matteo/Documents/Progetti/MinecraftMods/LiterallyChunkLoader-1.17/.gradle/loom-cache/1.17-project-@-mapped-net.fabricmc.yarn-1.17+build.11-v2/minecraft-1.17-project-@-mapped-net.fabricmc.yarn-1.17+build.11-v2.jar to classpath.
[10:45:29] [main/DEBUG] (FabricLoader|EntrypointTransformer) Found game constructor: net.minecraft.client.main.Main -> net.minecraft.client.MinecraftClient
[10:45:29] [main/DEBUG] (FabricLoader|EntrypointTransformer) Patching game constructor <init>(Lnet/minecraft/client/RunArgs;)V
[10:45:29] [main/DEBUG] (FabricLoader|EntrypointTransformer) Run directory field is thought to be net/minecraft/client/MinecraftClient/runDirectory
[10:45:29] [main/DEBUG] (FabricLoader|EntrypointTransformer) Applying brand name hook to net/minecraft/client/ClientBrandRetriever::getClientModName
[10:45:29] [main/DEBUG] (FabricLoader|EntrypointTransformer) Applying brand name hook to net/minecraft/server/MinecraftServer::getServerModName
[10:45:29] [main/DEBUG] (FabricLoader|EntrypointTransformer) [EntrypointTransformer] Patched 3 classes.
[10:45:29] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Adding dev classpath directories to classpath.
[10:45:29] [main/DEBUG] (FabricLoader) [Knot] Proposed file:/C:/Users/matteo/Documents/Progetti/MinecraftMods/LiterallyChunkLoader-1.17/build/classes/java/main/ to classpath.
[10:45:29] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /C:/Users/matteo/Documents/Progetti/MinecraftMods/LiterallyChunkLoader-1.17/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_17_1_17_build_11_v2/net/fabricmc/fabric-api/fabric-tag-extensions-v0/1.1.4+a02b44633d/fabric-tag-extensions-v0-1.1.4+a02b44633d.jar
[10:45:29] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /C:/Users/matteo/Documents/Progetti/MinecraftMods/LiterallyChunkLoader-1.17/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_17_1_17_build_11_v2/net/fabricmc/fabric-api/fabric-dimensions-v1/2.0.10+a02b44633d/fabric-dimensions-v1-2.0.10+a02b44633d.jar
[10:45:29] [ForkJoinPool-1-worker-51/DEBUG] (Fabric|Loader) Testing file:/C:/Users/matteo/Documents/Progetti/MinecraftMods/LiterallyChunkLoader-1.17/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_17_1_17_build_11_v2/net/fabricmc/fabric-api/fabric-tag-extensions-v0/1.1.4+a02b44633d/fabric-tag-extensions-v0-1.1.4+a02b44633d.jar
[10:45:29] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /C:/Users/matteo/Documents/Progetti/MinecraftMods/LiterallyChunkLoader-1.17/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_17_1_17_build_11_v2/net/fabricmc/fabric-api/fabric-networking-api-v1/1.0.11+b7ab61213d/fabric-networking-api-v1-1.0.11+b7ab61213d.jar
